msg_id,No.,timestamp,Source,Destination,app_protocol,src_port,dst_port,Length,TCP payload,iRTT,Flags,Request Method,Protocols in frame,message
47,468,20.681991,::1,::1,HTTP/JSON,8890,59426,766,(690 bytes),0.000121000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
48,470,20.684028,::1,::1,HTTP/JSON,8890,59428,434,(358 bytes),0.000141000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
49,472,20.712410,::1,::1,HTTP,59428,8890,1776,(1700 bytes),0.000141000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592022511 HTTP/1.1
50,474,20.712620,::1,::1,HTTP,59426,8890,1689,(1613 bytes),0.000121000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents?content=1&hash=0&1766592022511 HTTP/1.1
51,483,20.720591,::1,::1,HTTP/JSON,8890,59428,503,(427 bytes),0.000141000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
52,497,20.734480,::1,::1,HTTP,59428,8890,1694,(1618 bytes),0.000141000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/terminals?1766592022532 HTTP/1.1
53,499,20.734702,::1,::1,HTTP,59427,8890,1693,(1617 bytes),0.000286000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/sessions?1766592022533 HTTP/1.1
54,515,20.737246,::1,::1,HTTP,59429,8890,1692,(1616 bytes),0.000125000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/kernels?1766592022533 HTTP/1.1
55,517,20.737315,::1,::1,HTTP,59430,8890,1710,(1634 bytes),0.000073000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents?content=1&hash=0&1766592022534 HTTP/1.1
56,519,20.743683,::1,::1,HTTP/JSON,8890,59429,766,(690 bytes),0.000125000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
57,521,20.748352,::1,::1,HTTP/JSON,8890,59428,434,(358 bytes),0.000141000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
58,523,20.749933,::1,::1,HTTP/JSON,8890,59427,1579,(1503 bytes),0.000286000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
59,651,20.770748,::1,::1,HTTP/JSON,8890,59426,4353,(4277 bytes),0.000121000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
60,671,20.773979,::1,::1,HTTP/JSON,8890,59430,4353,(4277 bytes),0.000073000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
61,710,22.727034,::1,::1,HTTP,59431,8890,1776,(1700 bytes),0.000159000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592024528 HTTP/1.1
62,712,22.754980,::1,::1,HTTP/JSON,8890,59431,503,(427 bytes),0.000159000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
63,721,24.799305,::1,::1,HTTP,59431,8890,1776,(1700 bytes),0.000159000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592026600 HTTP/1.1
64,723,24.802928,::1,::1,HTTP/JSON,8890,59431,503,(427 bytes),0.000159000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
65,744,26.808557,::1,::1,HTTP,59434,8890,1776,(1700 bytes),0.000259000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592028609 HTTP/1.1
66,746,26.813541,::1,::1,HTTP/JSON,8890,59434,503,(427 bytes),0.000259000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
67,755,28.819228,::1,::1,HTTP,59434,8890,1776,(1700 bytes),0.000259000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592030620 HTTP/1.1
68,757,28.825699,::1,::1,HTTP/JSON,8890,59434,503,(427 bytes),0.000259000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
69,763,29.734355,::1,::1,HTTP,59434,8890,1675,(1599 bytes),0.000259000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/kernelspecs?1766592031533 HTTP/1.1
70,765,29.734492,::1,::1,HTTP,59435,8890,1666,(1590 bytes),0.000116000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/me?1766592031533 HTTP/1.1
71,767,29.738343,::1,::1,HTTP/JSON,8890,59435,634,(558 bytes),0.000116000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
72,769,29.764652,::1,::1,HTTP/JSON,8890,59434,1168,(1092 bytes),0.000259000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
73,784,30.683101,::1,::1,HTTP,59434,8890,1672,(1596 bytes),0.000259000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/sessions?1766592032484 HTTP/1.1
74,786,30.684936,::1,::1,HTTP/JSON,8890,59434,1579,(1503 bytes),0.000259000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
75,788,30.686545,::1,::1,HTTP,59435,8890,1671,(1595 bytes),0.000116000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/kernels?1766592032487 HTTP/1.1
76,790,30.687301,::1,::1,HTTP/JSON,8890,59435,766,(690 bytes),0.000116000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
77,792,30.689905,::1,::1,HTTP,59434,8890,1673,(1597 bytes),0.000259000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/terminals?1766592032490 HTTP/1.1
78,794,30.691786,::1,::1,HTTP/JSON,8890,59434,434,(358 bytes),0.000259000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
79,796,30.778386,::1,::1,HTTP,59434,8890,1689,(1613 bytes),0.000259000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents?content=1&hash=0&1766592032578 HTTP/1.1
80,876,30.793105,::1,::1,HTTP/JSON,8890,59434,4353,(4277 bytes),0.000259000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
81,884,30.830437,::1,::1,HTTP,59434,8890,1776,(1700 bytes),0.000259000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592032632 HTTP/1.1
82,886,30.832688,::1,::1,HTTP/JSON,8890,59434,503,(427 bytes),0.000259000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
83,914,33.052590,::1,::1,HTTP,59441,8890,1696,(1620 bytes),0.000157000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /aext_assistant_server/get_disk_state?1766592034843 HTTP/1.1
84,918,33.058801,::1,::1,HTTP/JSON,8890,59441,1212,(1136 bytes),0.000157000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
85,927,33.244641,::1,::1,HTTP,59441,8890,1789,(1713 bytes),0.000157000,"0x018 (PSH, ACK)",POST,null:ipv6:tcp:http:data-text-lines,POST /aext_assistant_server/sync_disk_state?1766592035043 HTTP/1.1  (text/plain)
86,934,33.251420,::1,::1,HTTP,8890,59441,403,(327 bytes),0.000157000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http,HTTP/1.1 200 OK
87,936,33.731688,::1,::1,HTTP,59441,8890,1776,(1700 bytes),0.000157000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592035532 HTTP/1.1
88,938,33.736862,::1,::1,HTTP/JSON,8890,59441,503,(427 bytes),0.000157000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
89,968,36.354392,::1,::1,HTTP,59443,8890,1776,(1700 bytes),0.000112000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592038088 HTTP/1.1
90,970,36.359023,::1,::1,HTTP/JSON,8890,59443,503,(427 bytes),0.000112000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
91,972,36.652542,::1,::1,HTTP,59443,8890,1696,(1620 bytes),0.000112000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /aext_assistant_server/get_disk_state?1766592038454 HTTP/1.1
92,976,36.659610,::1,::1,HTTP/JSON,8890,59443,2293,(2217 bytes),0.000112000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
93,984,36.736295,::1,::1,HTTP,59443,8890,1772,(1696 bytes),0.000112000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /panel-preview/layout/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb?1766592038533 HTTP/1.1
94,986,36.736585,::1,::1,HTTP,59445,8890,1781,(1705 bytes),0.000134000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb?content=0&hash=1&1766592038534 HTTP/1.1
95,988,36.799766,::1,::1,HTTP,8890,59443,420,(344 bytes),0.000112000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http,HTTP/1.1 200 OK
96,990,36.833882,::1,::1,HTTP/JSON,8890,59445,906,(830 bytes),0.000134000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
97,999,36.854487,::1,::1,HTTP,59445,8890,8669,(8593 bytes),0.000134000,"0x018 (PSH, ACK)",PUT,null:ipv6:tcp:http:data-text-lines,PUT /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb?1766592038649 HTTP/1.1  (text/plain)
98,1007,36.857810,::1,::1,HTTP,59443,8890,1789,(1713 bytes),0.000112000,"0x018 (PSH, ACK)",POST,null:ipv6:tcp:http:data-text-lines,POST /aext_assistant_server/sync_disk_state?1766592038658 HTTP/1.1  (text/plain)
99,1014,36.899085,::1,::1,HTTP,8890,59443,403,(327 bytes),0.000112000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http,HTTP/1.1 200 OK
100,1016,36.904514,::1,::1,HTTP/JSON,8890,59445,928,(852 bytes),0.000134000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
101,1030,36.917522,::1,::1,HTTP,59445,8890,1781,(1705 bytes),0.000134000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb?content=0&hash=1&1766592038719 HTTP/1.1
102,1032,36.920121,::1,::1,HTTP/JSON,8890,59445,906,(830 bytes),0.000134000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
103,1040,36.923745,::1,::1,HTTP,59445,8890,1776,(1700 bytes),0.000134000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592038724 HTTP/1.1
104,1042,36.923822,::1,::1,HTTP,59443,8890,1776,(1700 bytes),0.000112000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592038725 HTTP/1.1
105,1044,36.932263,::1,::1,HTTP/JSON,8890,59445,503,(427 bytes),0.000134000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
106,1046,36.934164,::1,::1,HTTP/JSON,8890,59443,503,(427 bytes),0.000112000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
107,1055,38.385927,::1,::1,HTTP,59443,8890,1776,(1700 bytes),0.000112000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592040172 HTTP/1.1
108,1057,38.391002,::1,::1,HTTP/JSON,8890,59443,503,(427 bytes),0.000112000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
109,1088,39.136176,::1,::1,HTTP,59443,8890,1622,(1546 bytes),0.000112000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /static/favicons/favicon-busy-1.ico HTTP/1.1
110,1092,39.139176,::1,::1,HTTP,8890,59443,383,(307 bytes),0.000112000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http,HTTP/1.1 304 Not Modified
111,1114,39.182621,::1,::1,HTTP,59443,8890,1622,(1546 bytes),0.000112000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /static/favicons/favicon-busy-1.ico HTTP/1.1
112,1122,39.183675,::1,::1,HTTP,8890,59443,383,(307 bytes),0.000112000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http,HTTP/1.1 304 Not Modified
113,1135,40.397242,::1,::1,HTTP,59443,8890,1776,(1700 bytes),0.000112000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592042198 HTTP/1.1
114,1137,40.399938,::1,::1,HTTP/JSON,8890,59443,503,(427 bytes),0.000112000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
115,1139,40.694738,::1,::1,HTTP,59443,8890,1672,(1596 bytes),0.000112000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/sessions?1766592042493 HTTP/1.1
116,1141,40.694834,::1,::1,HTTP,59445,8890,1671,(1595 bytes),0.000134000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/kernels?1766592042493 HTTP/1.1
117,1147,40.697631,::1,::1,HTTP,59446,8890,1673,(1597 bytes),0.000125000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/terminals?1766592042498 HTTP/1.1
118,1149,40.698248,::1,::1,HTTP/JSON,8890,59443,1579,(1503 bytes),0.000112000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
119,1151,40.700607,::1,::1,HTTP/JSON,8890,59445,766,(690 bytes),0.000134000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
120,1153,40.704357,::1,::1,HTTP/JSON,8890,59446,434,(358 bytes),0.000125000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
121,1155,40.799074,::1,::1,HTTP,59446,8890,1689,(1613 bytes),0.000125000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents?content=1&hash=0&1766592042600 HTTP/1.1
